labels,WL,Normal,Alert,Warning,Danger,QueryCnt
02/03/2024 19:00,101.39,102.7,103.5,104.5,107.3,
02/03/2024 20:00,101.39,102.7,103.5,104.5,107.3,
02/03/2024 21:00,101.39,102.7,103.5,104.5,107.3,
02/03/2024 22:00,101.4,102.7,103.5,104.5,107.3,
02/03/2024 23:00,101.39,102.7,103.5,104.5,107.3,
03/03/2024 00:00,101.39,102.7,103.5,104.5,107.3,
03/03/2024 01:00,101.39,102.7,103.5,104.5,107.3,
03/03/2024 02:00,101.39,102.7,103.5,104.5,107.3,
03/03/2024 03:00,101.39,102.7,103.5,104.5,107.3,
03/03/2024 04:00,101.39,102.7,103.5,104.5,107.3,
03/03/2024 05:00,101.4,102.7,103.5,104.5,107.3,
03/03/2024 06:00,101.4,102.7,103.5,104.5,107.3,
03/03/2024 07:00,101.39,102.7,103.5,104.5,107.3,
03/03/2024 08:00,101.4,102.7,103.5,104.5,107.3,
03/03/2024 09:00,101.39,102.7,103.5,104.5,107.3,
03/03/2024 10:00,101.39,102.7,103.5,104.5,107.3,
03/03/2024 11:00,101.39,102.7,103.5,104.5,107.3,
03/03/2024 12:00,101.38,102.7,103.5,104.5,107.3,
03/03/2024 13:00,101.37,102.7,103.5,104.5,107.3,
03/03/2024 14:00,101.38,102.7,103.5,104.5,107.3,
03/03/2024 15:00,101.39,102.7,103.5,104.5,107.3,
03/03/2024 16:00,101.39,102.7,103.5,104.5,107.3,
03/03/2024 17:00,101.37,102.7,103.5,104.5,107.3,
03/03/2024 18:00,101.37,102.7,103.5,104.5,107.3,
03/03/2024 19:00,101.37,102.7,103.5,104.5,107.3,
03/03/2024 20:00,101.37,102.7,103.5,104.5,107.3,
03/03/2024 21:00,101.37,102.7,103.5,104.5,107.3,
03/03/2024 22:00,101.37,102.7,103.5,104.5,107.3,
03/03/2024 23:00,101.37,102.7,103.5,104.5,107.3,
04/03/2024 00:00,101.37,102.7,103.5,104.5,107.3,
04/03/2024 01:00,101.37,102.7,103.5,104.5,107.3,
04/03/2024 02:00,101.38,102.7,103.5,104.5,107.3,
04/03/2024 03:00,101.37,102.7,103.5,104.5,107.3,
04/03/2024 04:00,101.37,102.7,103.5,104.5,107.3,
04/03/2024 05:00,101.36,102.7,103.5,104.5,107.3,
04/03/2024 06:00,101.37,102.7,103.5,104.5,107.3,
04/03/2024 07:00,101.36,102.7,103.5,104.5,107.3,
04/03/2024 08:00,101.36,102.7,103.5,104.5,107.3,
04/03/2024 09:00,101.37,102.7,103.5,104.5,107.3,
04/03/2024 10:00,101.37,102.7,103.5,104.5,107.3,
04/03/2024 11:00,101.36,102.7,103.5,104.5,107.3,
04/03/2024 12:00,101.35,102.7,103.5,104.5,107.3,
04/03/2024 13:00,101.35,102.7,103.5,104.5,107.3,
04/03/2024 14:00,101.34,102.7,103.5,104.5,107.3,
04/03/2024 15:00,101.33,102.7,103.5,104.5,107.3,
04/03/2024 16:00,101.33,102.7,103.5,104.5,107.3,
04/03/2024 17:00,101.34,102.7,103.5,104.5,107.3,
04/03/2024 18:00,101.32,102.7,103.5,104.5,107.3,
04/03/2024 19:00,101.35,102.7,103.5,104.5,107.3,
04/03/2024 20:00,101.34,102.7,103.5,104.5,107.3,
04/03/2024 21:00,101.35,102.7,103.5,104.5,107.3,
04/03/2024 22:00,101.35,102.7,103.5,104.5,107.3,
04/03/2024 23:00,101.35,102.7,103.5,104.5,107.3,
05/03/2024 00:00,101.35,102.7,103.5,104.5,107.3,
05/03/2024 01:00,101.35,102.7,103.5,104.5,107.3,
05/03/2024 02:00,101.35,102.7,103.5,104.5,107.3,
05/03/2024 03:00,101.35,102.7,103.5,104.5,107.3,
05/03/2024 04:00,101.34,102.7,103.5,104.5,107.3,
05/03/2024 05:00,101.35,102.7,103.5,104.5,107.3,
05/03/2024 06:00,101.34,102.7,103.5,104.5,107.3,
05/03/2024 07:00,101.34,102.7,103.5,104.5,107.3,
05/03/2024 08:00,101.34,102.7,103.5,104.5,107.3,
05/03/2024 09:00,101.33,102.7,103.5,104.5,107.3,
05/03/2024 10:00,101.34,102.7,103.5,104.5,107.3,
05/03/2024 11:00,101.34,102.7,103.5,104.5,107.3,
05/03/2024 12:00,101.33,102.7,103.5,104.5,107.3,
05/03/2024 13:00,101.31,102.7,103.5,104.5,107.3,
05/03/2024 14:00,101.31,102.7,103.5,104.5,107.3,
05/03/2024 15:00,101.33,102.7,103.5,104.5,107.3,
05/03/2024 16:00,101.34,102.7,103.5,104.5,107.3,
05/03/2024 17:00,101.32,102.7,103.5,104.5,107.3,
05/03/2024 18:00,101.34,102.7,103.5,104.5,107.3,
05/03/2024 19:00,101.37,102.7,103.5,104.5,107.3,
05/03/2024 20:00,101.36,102.7,103.5,104.5,107.3,
05/03/2024 21:00,101.37,102.7,103.5,104.5,107.3,
05/03/2024 22:00,101.39,102.7,103.5,104.5,107.3,
05/03/2024 23:00,101.39,102.7,103.5,104.5,107.3,
06/03/2024 00:00,101.39,102.7,103.5,104.5,107.3,
06/03/2024 01:00,101.39,102.7,103.5,104.5,107.3,
06/03/2024 02:00,101.39,102.7,103.5,104.5,107.3,
06/03/2024 03:00,101.37,102.7,103.5,104.5,107.3,
06/03/2024 04:00,101.39,102.7,103.5,104.5,107.3,
06/03/2024 05:00,101.39,102.7,103.5,104.5,107.3,
06/03/2024 06:00,101.39,102.7,103.5,104.5,107.3,
06/03/2024 07:00,101.39,102.7,103.5,104.5,107.3,
06/03/2024 08:00,101.37,102.7,103.5,104.5,107.3,
06/03/2024 09:00,101.38,102.7,103.5,104.5,107.3,
06/03/2024 10:00,101.38,102.7,103.5,104.5,107.3,
06/03/2024 11:00,101.38,102.7,103.5,104.5,107.3,
06/03/2024 12:00,101.37,102.7,103.5,104.5,107.3,
06/03/2024 13:00,101.37,102.7,103.5,104.5,107.3,
06/03/2024 14:00,101.37,102.7,103.5,104.5,107.3,
06/03/2024 15:00,101.36,102.7,103.5,104.5,107.3,
06/03/2024 16:00,101.37,102.7,103.5,104.5,107.3,
06/03/2024 17:00,101.35,102.7,103.5,104.5,107.3,
06/03/2024 18:00,101.37,102.7,103.5,104.5,107.3,
06/03/2024 19:00,101.37,102.7,103.5,104.5,107.3,
06/03/2024 20:00,101.36,102.7,103.5,104.5,107.3,
06/03/2024 21:00,101.37,102.7,103.5,104.5,107.3,
06/03/2024 22:00,101.36,102.7,103.5,104.5,107.3,
06/03/2024 23:00,101.36,102.7,103.5,104.5,107.3,
07/03/2024 00:00,101.37,102.7,103.5,104.5,107.3,
07/03/2024 01:00,101.36,102.7,103.5,104.5,107.3,
07/03/2024 02:00,101.37,102.7,103.5,104.5,107.3,
07/03/2024 03:00,101.37,102.7,103.5,104.5,107.3,
07/03/2024 04:00,101.37,102.7,103.5,104.5,107.3,
07/03/2024 05:00,101.37,102.7,103.5,104.5,107.3,
07/03/2024 06:00,101.37,102.7,103.5,104.5,107.3,
07/03/2024 07:00,101.37,102.7,103.5,104.5,107.3,
07/03/2024 08:00,101.36,102.7,103.5,104.5,107.3,
07/03/2024 09:00,101.36,102.7,103.5,104.5,107.3,
07/03/2024 10:00,101.36,102.7,103.5,104.5,107.3,
07/03/2024 11:00,101.36,102.7,103.5,104.5,107.3,
07/03/2024 12:00,101.34,102.7,103.5,104.5,107.3,
07/03/2024 13:00,101.35,102.7,103.5,104.5,107.3,
07/03/2024 14:00,101.35,102.7,103.5,104.5,107.3,
07/03/2024 15:00,101.32,102.7,103.5,104.5,107.3,
07/03/2024 16:00,101.35,102.7,103.5,104.5,107.3,
07/03/2024 17:00,101.33,102.7,103.5,104.5,107.3,
07/03/2024 18:00,101.33,102.7,103.5,104.5,107.3,
07/03/2024 19:00,101.34,102.7,103.5,104.5,107.3,
07/03/2024 20:00,101.34,102.7,103.5,104.5,107.3,
07/03/2024 21:00,101.36,102.7,103.5,104.5,107.3,
07/03/2024 22:00,101.37,102.7,103.5,104.5,107.3,
07/03/2024 23:00,101.36,102.7,103.5,104.5,107.3,
08/03/2024 00:00,101.36,102.7,103.5,104.5,107.3,
08/03/2024 01:00,101.37,102.7,103.5,104.5,107.3,
08/03/2024 02:00,101.36,102.7,103.5,104.5,107.3,
08/03/2024 03:00,101.37,102.7,103.5,104.5,107.3,
08/03/2024 04:00,101.36,102.7,103.5,104.5,107.3,
08/03/2024 05:00,101.37,102.7,103.5,104.5,107.3,
08/03/2024 06:00,101.36,102.7,103.5,104.5,107.3,
08/03/2024 07:00,101.37,102.7,103.5,104.5,107.3,
08/03/2024 08:00,101.37,102.7,103.5,104.5,107.3,
08/03/2024 09:00,101.37,102.7,103.5,104.5,107.3,
08/03/2024 10:00,101.37,102.7,103.5,104.5,107.3,
08/03/2024 11:00,101.37,102.7,103.5,104.5,107.3,
08/03/2024 12:00,101.36,102.7,103.5,104.5,107.3,
08/03/2024 13:00,101.36,102.7,103.5,104.5,107.3,
08/03/2024 14:00,101.34,102.7,103.5,104.5,107.3,
08/03/2024 15:00,101.34,102.7,103.5,104.5,107.3,
08/03/2024 16:00,101.36,102.7,103.5,104.5,107.3,
08/03/2024 17:00,101.37,102.7,103.5,104.5,107.3,
08/03/2024 18:00,101.37,102.7,103.5,104.5,107.3,
08/03/2024 19:00,101.38,102.7,103.5,104.5,107.3,
08/03/2024 20:00,101.38,102.7,103.5,104.5,107.3,
08/03/2024 21:00,101.38,102.7,103.5,104.5,107.3,
08/03/2024 22:00,101.39,102.7,103.5,104.5,107.3,
08/03/2024 23:00,101.38,102.7,103.5,104.5,107.3,
09/03/2024 00:00,101.37,102.7,103.5,104.5,107.3,
09/03/2024 01:00,101.37,102.7,103.5,104.5,107.3,
09/03/2024 02:00,101.38,102.7,103.5,104.5,107.3,
09/03/2024 03:00,101.38,102.7,103.5,104.5,107.3,
09/03/2024 04:00,101.37,102.7,103.5,104.5,107.3,
09/03/2024 05:00,101.38,102.7,103.5,104.5,107.3,
09/03/2024 06:00,101.37,102.7,103.5,104.5,107.3,
09/03/2024 07:00,101.37,102.7,103.5,104.5,107.3,
09/03/2024 08:00,101.37,102.7,103.5,104.5,107.3,
09/03/2024 09:00,101.39,102.7,103.5,104.5,107.3,
09/03/2024 10:00,101.38,102.7,103.5,104.5,107.3,
09/03/2024 11:00,101.37,102.7,103.5,104.5,107.3,
09/03/2024 12:00,101.37,102.7,103.5,104.5,107.3,
09/03/2024 13:00,101.37,102.7,103.5,104.5,107.3,
09/03/2024 14:00,101.37,102.7,103.5,104.5,107.3,
09/03/2024 15:00,101.36,102.7,103.5,104.5,107.3,
09/03/2024 16:00,101.36,102.7,103.5,104.5,107.3,
09/03/2024 17:00,101.34,102.7,103.5,104.5,107.3,
09/03/2024 18:00,101.34,102.7,103.5,104.5,107.3,
09/03/2024 19:00,101.36,102.7,103.5,104.5,107.3,
09/03/2024 20:00,101.36,102.7,103.5,104.5,107.3,
09/03/2024 21:00,101.36,102.7,103.5,104.5,107.3,
09/03/2024 22:00,101.35,102.7,103.5,104.5,107.3,
09/03/2024 23:00,101.36,102.7,103.5,104.5,107.3,
10/03/2024 00:00,101.36,102.7,103.5,104.5,107.3,
10/03/2024 01:00,101.36,102.7,103.5,104.5,107.3,
10/03/2024 02:00,101.37,102.7,103.5,104.5,107.3,
10/03/2024 03:00,101.36,102.7,103.5,104.5,107.3,
10/03/2024 04:00,101.37,102.7,103.5,104.5,107.3,
10/03/2024 05:00,101.36,102.7,103.5,104.5,107.3,
10/03/2024 06:00,101.37,102.7,103.5,104.5,107.3,
